"author","count_publications","nova_author"
"Passos,AM",4,"no"
"Patel,C",1,"no"
"Patto,JV",1,"no"
"Paulino,M",1,"no"
"Pauly,MV",1,"no"
"Peitz,M",1,"no"
"Peixinho,R",1,"no"
"Pena,AR",1,"no"
"Pennacchi,G",1,"no"
"Pennacchi,GG",2,"no"
"Peralta,S",4,"yes"
"Pereira,A",3,"no"
"Pereira,BÁ",2,"yes"
"Pereira,JP",5,"yes"
"Pereira,VJ",1,"no"
"Pereira,ZP",1,"no"
"PereiradosSantos,J",7,"yes"
"PereiraDosSantos,J",1,"yes"
"PereiraLopes,M",1,"no"
"PereiraNeto,R",1,"no"
"Perelman,J",6,"yes"
"PerezNebra,A",1,"no"
"PerezNebra,AR",1,"no"
"Peristiani,S",1,"no"
"Pesquita,V",1,"no"
"Peter,E",1,"no"
"Peydró,JL",1,"no"
"Picard,PM",1,"no"
"Piccolo,S",1,"no"
"Pimentel,L",1,"no"
"Pin,JR",1,"no"
"Pina,JP",1,"yes"
"PinaeCunha,M",3,"no"
"Pinela,J",2,"no"
"Pinheiro,JA",1,"no"
"Pinheiro,M",2,"no"
"PinheiroAlves,R",1,"no"
"Pinho,I",1,"no"
"Pinho,P",1,"yes"
"Pinnington,AH",1,"no"
"Pinto,A",1,"no"
"Pinto,MMF",1,"no"
"Pippo,F",1,"no"
"Pires,CA",1,"no"
"Pires,D",2,"no"
"Pires,P",4,"yes"
"PitaBarros,P",1,"yes"
"Pitsis,T",2,"no"
"Pitsis,TS",3,"no"
"Plăiaş,I",2,"no"
"Plosser,MC",2,"no"
"Plückebaum,T",1,"no"
"Plueckebaum,T",1,"no"
"Pollack,J",1,"no"
"Pollitt,M",1,"no"
"Polónia,D",1,"no"
"Popova,O",5,"no"
"Portela,M",1,"no"
"Portugal,P",10,"yes"
"Potin,J",2,"no"
"Pouthier,V",2,"no"
"Pozzebon,M",1,"no"
"Pradies,C",2,"no"
"Prado,MP",7,"yes"
"Preto,MT",1,"no"
"Puopolo,GW",1,"no"
"Putnam,LL",1,"no"
"Queiroga,H",1,"no"
"Queiroz,R",1,"yes"
"Quintano,M",1,"no"
"Quinteiro,P",1,"no"
"Rabetino,R",1,"no"
"Rahim,F",1,"yes"
"Ramalho,JC",2,"yes"
"Ramos,CMQ",1,"no"
"Ramos,SB",3,"no"
"Randerson,K",1,"no"
"Rando,B",1,"no"
"Rangel,J",2,"no"
"Rangvid,J",1,"no"
"Raposo,M",2,"no"
"Raposo,P",1,"no"
"Ratner,KG",1,"no"
"Reagans,R",1,"no"
"Reb,J",1,"no"
"Rebelo,E",2,"no"
"Rego,A",73,"no"
"Rego,I",2,"no"
"Rego,PJR",1,"no"
"Reino,L",1,"no"
"Reis,AB",2,"no"
"Reis,C",1,"no"
"Reis,D",1,"no"
"Reis,G",1,"no"
"Reis,M",2,"no"
"Reis,TAD",1,"no"
"ReisJunior,D",1,"no"
"ReisJúnior,D",2,"no"
"Restrepo,F",1,"no"
"Ribeiro,L",1,"no"
"Ribeiro,N",2,"no"
"Ribeiro,NS",6,"no"
"Ribeiro,P",1,"no"
"Ribeiro,PF",1,"no"
"Ribeiro,T",1,"no"
"RibeiroBarros,A",3,"no"
"Ribeirobarros,AI",1,"no"
"RibeiroBarros,AI",3,"yes"
"Ricard,A",1,"no"
"Ricciardi,W",1,"no"
"Richman,DD",1,"no"
"Ringstad,B",1,"yes"
"RipollFeliu,V",1,"no"
"Rito,C",1,"no"
"Rivaes,R",2,"no"
"RobertTaylor,AM",3,"no"
"Rocha,B",1,"no"
"Rocha,M",3,"yes"
"Rodrigues,A",2,"no"
"Rodrigues,AM",4,"yes"
"Rodrigues,AMG",1,"no"
"Rodrigues,AP",1,"no"
"Rodrigues,F",1,"no"
"Rodrigues,FR",1,"yes"
"Rodrigues,JMF",1,"no"
"Rodrigues,LL",1,"no"
"Rodrigues,M",2,"yes"
"Rodrigues,MS",1,"no"
"Rodrigues,P",5,"yes"
"Rodrigues,PMM",26,"yes"
"Rodrigues,RA",1,"no"
"Rodrigues,RI",2,"no"
"Rodrigues,TC",1,"yes"
"Rodrigues,V",1,"no"
"RodriguesdaCosta,J",3,"yes"
"RodriguesdaCosta,JC",1,"no"
"Rodríguez,R",1,"no"
"RodriguezCarvajal,R",1,"no"
"Roger,G",1,"no"
"Rogers,HL",2,"no"
"Rohwedder,S",1,"no"
"Roldão,M",1,"no"
"Román,ES",1,"no"
"Romao,J",1,"no"
"Romeiras,MM",9,"no"
"Romero,AM",1,"no"
"Rosa,R",6,"yes"
"Rosado,P",1,"no"
"Rothman,D",1,"no"
"Roxo,G",2,"no"
"Røyrvik,EA",1,"no"
"Rua,A",18,"yes"
"Rubia,A",4,"no"
"Ruderman,MN",1,"no"
"Ruhle,SA",1,"no"
"Ruivo,P",1,"no"
"Russo,G",5,"no"
"Ruzzenenti,F",1,"no"
"Ryser,VA",1,"no"
"Sá,AB",1,"no"
"Sá,M",2,"yes"
"Sabat,I",5,"yes"
"Sacavém,A",1,"no"
"Saffi,PAC",1,"no"
"SáGuerreiro,C",2,"no"
"Sahadev,S",3,"no"
"Salamandane,C",1,"no"
"Salt,MJ",1,"no"
"Salvado,S",1,"yes"
"Sambo,L",2,"no"
"Sampaio,JO",1,"no"
"Sampaio,M",1,"no"
"Sánchez,ID",1,"no"
"Sanders,K",1,"no"
"Sankaran,S",4,"no"
"Santa,SF",1,"no"
"SantaClara,P",7,"yes"
"Santana,J",1,"no"
"Santana,JJE",1,"no"
"Santana,P",1,"no"
"Santana,R",2,"no"
"Santos,A",4,"no"
"Santos,CD",4,"yes"
"Santos,CM",2,"no"
"Santos,E",1,"no"
"Santos,F",3,"yes"
"Santos,FADN",1,"no"
"Santos,J",1,"no"
"Santos,JAC",19,"yes"
"Santos,JACD",1,"no"
"Santos,JL",8,"no"
"Santos,JR",1,"yes"
"Santos,JV",1,"no"
"Santos,M",1,"no"
"Santos,S",4,"no"
"Santos,SP",2,"no"
"SantosPinto,L",2,"no"
"SantosSilva,JMC",1,"no"
"Saraiva,M",1,"no"
"Sarens,G",1,"no"
"Sarkar,S",2,"no"
"Sarmento,M",3,"yes"
"Savagnago,M",1,"no"
"Scacco,A",2,"no"
"Schernhammer,ES",1,"no"
"Schmeling,M",1,"no"
"Schoar,A",1,"no"
"Scholtern,M",1,"no"
"Schreyögg,J",4,"no"
"Schyns,B",1,"no"
"Seabra,C",6,"yes"
"Seabra,MC",2,"no"
"Seidle,R",1,"no"
"Seita,A",1,"no"
"Seither,J",1,"yes"
"Seixas,G",1,"no"
"Seldeslachts,J",1,"no"
"Sengul,M",1,"no"
"Sequeira,T",1,"yes"
"Seremani,TW",2,"no"
"Serra,AR",1,"no"
"Serra,J",2,"no"
"Severo,M",1,"no"
"Sferrazzo,R",1,"no"
"Sguera,F",1,"no"
"Shamsudeen,M",1,"no"
"Sharma,G",2,"no"
"Shin,D",2,"no"
"Shipton,H",1,"no"
"Shoham,A",1,"no"
"Shuangao,W",1,"no"
"Sialm,C",1,"no"
"Siciliani,L",2,"no"
"Sigot,L",1,"no"
"Silard,A",1,"no"
"Silva,A",1,"yes"
"Silva,AC",9,"yes"
"Silva,AF",1,"no"
"Silva,ÁFD",1,"yes"
"Silva,B",1,"no"
"Silva,C",1,"no"
"Silva,ES",1,"no"
"Silva,G",1,"yes"
"Silva,GM",3,"no"
"Silva,J",1,"no"
"Silva,JMN",1,"no"
"Silva,L",1,"no"
"Silva,MJ",1,"no"
"Silva,N",1,"no"
"Silva,PL",1,"no"
"Silva,RC",4,"yes"
"Silva,SA",1,"no"
"Silva,SAD",1,"no"
"Silva,SVD",1,"no"
"Silva,T",1,"no"
"Silva,VAB",1,"no"
"Silveira,H",2,"no"
"Silverman,D",1,"no"
"Sim,S",2,"yes"
"Simoes,C",1,"no"
"Simões,C",2,"no"
"Simões,I",1,"no"
"Simpson,AV",12,"no"
"Singh,M",1,"no"
"Skarmeas,D",1,"no"
"Smith,W",1,"no"
"Soares,AC",2,"no"
"Soares,C",2,"yes"
"Soares,MJ",1,"no"
"Soares,R",1,"no"
"SoaresLeitão,MJ",1,"no"
"Sobral,F",6,"no"
"Sobreira,N",2,"no"
"Söderlund,J",1,"no"
"SofiaRibeiro,N",1,"no"
"Soković,M",2,"no"
"SolísArce,JS",2,"no"
"Solomin,P",2,"no"
"Sood,N",1,"no"
"Soriano,V",1,"no"
"Sousa,C",2,"no"
"Sousa,CA",1,"yes"
"Sousa,CMP",4,"no"
"Sousa,F",4,"no"
"Sousa,M",7,"yes"
"Sousa,ML",1,"yes"
"Sousa,MSD",1,"no"
"Sousa,RM",1,"no"
"Sousa,T",3,"yes"
"Spahr,RW",2,"no"
"Sparr,JL",2,"no"
"Spiecker,H",1,"no"
"Staehr,K",1,"no"
"Stahl,D",2,"no"
"Stallbaum,G",2,"no"
"Stanek,P",2,"no"
"Stargardt,T",4,"no"
"Starks,L",1,"no"
"Steffens,NK",1,"no"
"Stehrer,R",1,"no"
"Steiner,G",1,"no"
"Stinerock,R",3,"yes"
"Story,J",12,"yes"
"Story,JSP",2,"yes"
"Sturgess,J",1,"no"
"Styles,C",1,"no"
"Suarez,E",1,"no"
"Suarez,J",1,"no"
"Subrahmanyan,S",2,"no"
"Suhomlinova,O",1,"no"
"Susaeta,L",1,"no"
"Syunyaev,G",2,"no"
"Szymanowska,M",1,"no"
"Tabakis,C",2,"yes"
"Talhinhas,P",2,"no"
"Tamoni,A",1,"no"
"Tan,N",1,"no"
"Tarba,S",1,"no"
"Tarba,SY",3,"no"
"Tarta,CP",2,"no"
"Tavares,J",13,"yes"
"Tavares,M",2,"no"
"Taylor,AMR",5,"no"
"Teberga,PMF",1,"no"
"Tejerina,L",1,"no"
"Teles,P",1,"no"
"Telles,JL",1,"no"
"TenreiroMachado,JA",5,"no"
"Testi,LIO",1,"no"
"Tetto,AF",1,"no"
"Thell,V",1,"no"
"Thomakos,D",1,"no"
"Thomson,S",1,"no"
"Tihanyi,L",1,"no"
"Tonin,M",1,"no"
"Torbica,A",3,"no"
"Torres,S",1,"no"
"TovarJalles,J",9,"yes"
"Town,R",1,"no"
"Trigueiros,D",3,"no"
"Trullen,J",1,"no"
"Truninger,M",1,"no"
"Tsinopoulos,C",1,"no"
"Tsoukas,H",2,"no"
"Tumen,S",4,"no"
"Tupinambá,A",2,"no"
"Tureta,C",2,"no"
"UhlBien,M",1,"no"
"Uhlig,H",1,"no"
"Ülkü,S",1,"no"
"Ulu,MF",1,"no"
"Umblijs,J",2,"no"
"Vaccaro,A",1,"no"
"Vaillant,Y",2,"no"
"ValleeAzevedo,J",6,"yes"
"ValleEAzevedo,J",1,"yes"
"Valletti,T",1,"no"
"Valverde,C",2,"no"
"VanBaelen,F",1,"no"
"vanDick,R",1,"no"
"vanDierendonck,D",1,"no"
"VanDierendonck,D",4,"no"
"vanExel,J",3,"no"
"VanOsselaer,SMJ",1,"no"
"VanRossenberg,Y",1,"no"
"Varejão,J",2,"no"
"Varela,D",1,"no"
"Varela,E",3,"no"
"Varghese,NE",2,"no"
"Varkevisser,M",1,"no"
"Vasconcelos,H",1,"no"
"Vasconcelos,L",5,"yes"
"Vaujany,FXD",1,"no"
"Vavdinos,N",1,"no"
"Vaz,A",1,"no"
"Vaz,J",1,"no"
"Veiga,MDRD",1,"no"
"Velez,MJ",6,"yes"
"Velez,MJP",1,"no"
"Venâncio,A",2,"no"
"VendrellHerrero,F",14,"no"
"Verdorfer,AP",1,"no"
"Vergara,RC",1,"no"
"Verhallen,T",1,"yes"
"Vicente,P",5,"yes"
"Vicente,PC",13,"yes"
"Viegas,I",1,"no"
"Vieira,A",2,"no"
"Vieira,DA",1,"no"
"Vieira,DV",1,"no"
"Vieira,RJ",1,"yes"
"VieiradaSilva,C",4,"yes"
"VieiraDaSilva,C",2,"no"
"Vig,V",1,"no"
"Vilares,H",1,"no"
"Vilela,I",2,"yes"
"Villamil,A",1,"no"
"Villiers,C",1,"no"
"Vince,R",2,"no"
"Vitoria,A",1,"no"
"Vitória,A",3,"no"
"VivasConsuelo,D",2,"no"
"VivasOrts,D",1,"no"
"Viveiros,M",2,"no"
"Vlassopoulos,M",1,"no"
"Vo,T",2,"no"
"Vogelsang,I",4,"no"
"Vokáč,M",1,"no"
"vonHafe,F",1,"no"
"Voors,M",2,"no"
"Wagner,E",1,"no"
"Wåhlin,N",1,"no"
"Wang,X",1,"no"
"Warr,M",1,"no"
"Warren,SS",2,"no"
"Weaver,F",3,"no"
"Webster,E",1,"no"
"Weeks,M",1,"no"
"Weisbach,MS",1,"no"
"Weissgerber,SC",1,"no"
"WeymanJones,T",1,"no"
"White,AR",1,"no"
"Wickham,RE",1,"no"
"Wiedeman,NJB",2,"no"
"Wiederhold,M",1,"no"
"Willaert,T",3,"no"
"Wilmot,M",1,"no"
"Wilson,KE",1,"no"
"Winton,A",1,"no"
"Woeter,M",1,"no"
"Wood,G",2,"no"
"Wright,M",1,"no"
"Xufre,P",3,"yes"
"Yam,KC",2,"no"
"Yan,J",1,"no"
"Yang,D",1,"no"
"Yang,T",1,"no"
"Yara,FB",1,"yes"
"Yin,JX",1,"no"
"Yorulmazer,T",2,"no"
"Youssef,C",1,"no"
"Zafar,B",3,"no"
"Zaletel,J",2,"no"
"Zambrana,R",2,"yes"
"Zdzienicka,A",1,"no"
"Zeelenberg,M",1,"no"
"Zejnilovic,L",3,"yes"
"Zemsky,P",1,"no"
"Zenk,L",1,"no"
"Zeydanli,T",4,"yes"
"Zheng,M",1,"no"
"Zhou,Q",1,"no"
"Zilberman,D",1,"no"
"Zivan,I",2,"no"
"Zorina,A",1,"no"
"Zozimo,R",2,"yes"
"Zsurkis,G",2,"no"
